Date,open,high,low,close,adj_close,volume,SMA_50,EMA_20,WMA_20,MACD,MACD_signal,MACD_hist,TEMA_20,RSI_14,ROC,CCI_14,WILLR_14,ATR_14,Upper_BB,Middle_BB,Lower_BB,OBV,AD,Chaikin_AD
2018-01-02,248.33999633789065,248.47000122070312,247.22999572753903,248.0200042724609,215.3882751464844,4454900,,,,,,,,,,,,,,,,4454900.0,1221541.0902600274,
2018-01-03,248.32000732421875,249.22000122070312,248.07000732421875,248.9499969482422,216.1958923339844,5528600,,,,,,,,,,,,,,,,9983500.0,4154047.9713469897,
2018-01-04,249.9600067138672,250.9199981689453,249.6199951171875,250.6000061035156,217.62876892089844,4932900,,,,,,,,,,,,,,,,14916400.0,6658509.272801051,
2018-01-05,251.3800048828125,252.8500061035156,250.97000122070312,252.72000122070312,219.46987915039065,3349200,,,,,,,,,,,,,,,,18265600.0,9544505.844452286,
2018-01-08,252.75,252.97000122070312,252.22000122070312,252.58999633789065,219.35699462890625,3847500,,,,,,,,,,,,,,,,14418100.0,9493155.746796329,
2018-01-09,253.1999969482422,254.2899932861328,252.72000122070312,253.82000732421875,220.42523193359372,5031400,,,,,,,,,,,,,,,,19449500.0,11512199.925587477,
2018-01-10,253.1699981689453,253.92999267578125,252.4499969482422,253.6199951171875,220.2515411376953,2357600,,,,,,,,,,,,,,,,17091900.0,12882161.609420331,
2018-01-11,254.0,255.6699981689453,253.8500061035156,255.6100006103516,221.9796295166016,2760400,,,,,,,,,,,,,,,,19852300.0,15460563.826146431,
2018-01-12,256.6300048828125,257.9700012207031,256.4800109863281,257.9100036621094,223.97706604003903,3678400,,,,,,,,,,,,,,,,23530700.0,18842726.9590319,
2018-01-16,260.2699890136719,260.75,256.9100036621094,257.8099975585937,223.8901824951172,8102900,,,,,,,,,,,,,,,,15427800.0,14538039.197863724,4900653.829050196
2018-01-17,259.260009765625,261.19000244140625,258.5400085449219,261.0799865722656,226.72999572753903,6144400,,,,,,,,,5.2656971513708015,,,,,,,21572200.0,20172263.301047925,5549900.873467868
2018-01-18,261.239990234375,261.32000732421875,259.3800048828125,260.1600036621094,225.9310607910156,4860200,,,,,,,,,4.502914983444566,,,,,,,16712000.0,19220254.32826202,5008053.548164319
2018-01-19,260.04998779296875,260.54998779296875,259.2699890136719,260.5400085449219,226.38629150390625,4057600,,,,,,,,,3.966481324545679,,,,,,,20769600.0,23214585.835307296,5602034.7993123345
2018-01-22,259.70001220703125,262.010009765625,259.6300048828125,261.9800109863281,227.6376190185547,3359900,,,,,,,,,3.6641380661984617,104.76217205315167,-0.20296854400525532,,,,,24129500.0,26489786.094321504,6377860.4118035585
2018-01-23,261.8299865722656,262.2900085449219,261.2699890136719,261.8699951171875,227.5419158935547,3483300,,,,,,,,89.58253924100583,3.673937572287287,98.99733924620354,-2.953680672846015,2.001847399630837,,,,20646200.0,27104449.312368415,6311012.785219122
2018-01-24,263.0,263.760009765625,260.8699951171875,262.57000732421875,228.1502227783203,7106400,,,,,,,,90.2837634871307,3.4473247764204524,97.80596730736525,-8.41585013165278,2.096397239454756,,,,27752600.0,28358537.557352576,6108965.671818707
2018-01-25,263.5799865722656,264.3900146484375,262.4200134277344,263.75,229.1755523681641,5918900,,,,,,,,91.34175743029051,3.9941665002129807,107.24047095117373,-4.769105872240176,2.083397100316885,,,,33671500.0,30431569.17633233,6130550.488574032
2018-01-26,264.32000732421875,265.92999267578125,264.04998779296875,265.9100036621094,231.0523834228516,3861700,,,,,,,,92.87186185374806,4.02957749194601,127.28561547846543,-0.14579887768253474,2.093029503708063,,,,37533200.0,34211150.69376626,6784651.988378007
2018-01-29,265.5599975585937,265.8999938964844,264.1199951171875,264.1600036621094,229.53179931640625,4605600,,,,,,,,80.46488526426951,2.423325932013165,107.86718409408391,-13.130486458952372,2.0636439181190767,,,,32927600.0,29812588.312707745,5035909.845381193
2018-01-30,261.4800109863281,262.44000244140625,260.0899963378906,260.6199951171875,226.45590209960935,9409500,,257.71450119018556,260.4440965198335,,,,257.71450119018556,62.32627766079163,1.0899490264938874,18.456380534898983,-39.391685768458,2.2533650793682316,268.17336120863445,257.71450119018556,247.25564117173667,23518100.0,24647352.620220244,2219221.262420006
2018-01-31,263.0,263.1600036621094,260.2900085449219,261.44000244140625,227.1683807373047,5360500,,258.06931083315897,260.79890616280693,,,,258.68077416345335,64.33201574205869,0.13789485508533011,22.597348435597194,-37.16883464658424,2.310355196050655,267.9545139627677,258.3855010986328,248.8164882344979,28878600.0,23582708.209093537,526441.6874482967
