Date,open,high,low,close,adj_close,volume,SMA_50,EMA_20,WMA_20,MACD,MACD_signal,MACD_hist,TEMA_20,RSI_14,ROC,CCI_14,WILLR_14,ATR_14,Upper_BB,Middle_BB,Lower_BB,OBV,AD,Chaikin_AD
2018-01-02,153.1999969482422,153.97000122070312,152.4600067138672,153.89999389648438,140.6960906982422,20489600,,,,,,,,,,,,,,,,20489600.0,18589696.306551196,
2018-01-03,153.8699951171875,154.4600067138672,153.52000427246094,154.05999755859375,140.8423614501953,21836600,,,,,,,,,,,,,,,,42326200.0,21841578.78820823,
2018-01-04,154.97000122070312,155.14999389648438,154.02000427246094,154.47000122070312,141.21719360351562,14207100,,,,,,,,,,,,,,,,56533300.0,18949895.33266843,
2018-01-05,154.8800048828125,154.97999572753906,153.94000244140625,154.7899932861328,141.5097198486328,19883900,,,,,,,,,,,,,,,,76417200.0,31568383.920781173,
2018-01-08,154.72999572753906,155.27000427246094,153.5,155.02999877929688,141.7291717529297,18457300,,,,,,,,,,,,,,,,94874500.0,45020211.947746925,
2018-01-09,155.24000549316406,155.5,154.72999572753906,154.82000732421875,141.53720092773438,16571300,,,,,,,,,,,,,,,,78303200.0,32323199.98848965,
2018-01-10,154.47000122070312,155.1699981689453,153.9199981689453,154.83999633789062,141.55545043945312,18516800,,,,,,,,,,,,,,,,96820000.0,41063075.34005215,
2018-01-11,155.07000732421875,157.66000366210938,154.97999572753906,157.5,143.98721313476562,26522400,,,,,,,,,,,,,,,,123342400.0,64418558.501345046,
2018-01-12,157.67999267578125,158.86000061035156,157.47000122070312,158.16000366210938,144.5906219482422,24089800,,,,,,,,,,,,,,,,147432200.0,64245345.71249824,
2018-01-16,158.86000061035156,159.41000366210938,155.8000030517578,156.13999938964844,142.74392700195312,27704700,,,,,,,,,,,,,,,,119727500.0,41759202.471379824,11696592.129623488
2018-01-17,156.8000030517578,157.94000244140625,156.27999877929688,157.6199951171875,144.09695434570312,18571600,,,,,,,,,2.4171548851426583,,,,,,,138299100.0,53170519.445366405,10682306.623937212
2018-01-18,157.22000122070312,157.5,156.38999938964844,156.5399932861328,143.109619140625,17903600,,,,,,,,,1.6097596824872362,,,,,,,120395500.0,40105530.703872144,5139210.988050364
