Date,Opening Price,Highest Price,Lowest Price,Closing Price,Adjusted Closing Price,Trading Volume
2018-01-02,153.1999969482422,153.97000122070312,152.4600067138672,153.89999389648438,140.6960906982422,20489600
2018-01-03,153.8699951171875,154.4600067138672,153.52000427246094,154.05999755859375,140.8423614501953,21836600
2018-01-04,154.97000122070312,155.14999389648438,154.02000427246094,154.47000122070312,141.21719360351562,14207100
2018-01-05,154.8800048828125,154.97999572753906,153.94000244140625,154.7899932861328,141.5097198486328,19883900
2018-01-08,154.72999572753906,155.27000427246094,153.5,155.02999877929688,141.7291717529297,18457300
2018-01-09,155.24000549316406,155.5,154.72999572753906,154.82000732421875,141.53720092773438,16571300
2018-01-10,154.47000122070312,155.1699981689453,153.9199981689453,154.83999633789062,141.55545043945312,18516800
2018-01-11,155.07000732421875,157.66000366210938,154.97999572753906,157.5,143.98721313476562,26522400
2018-01-12,157.67999267578125,158.86000061035156,157.47000122070312,158.16000366210938,144.5906219482422,24089800
2018-01-16,158.86000061035156,159.41000366210938,155.8000030517578,156.13999938964844,142.74392700195312,27704700
2018-01-17,156.8000030517578,157.94000244140625,156.27999877929688,157.6199951171875,144.09695434570312,18571600
2018-01-18,157.22000122070312,157.5,156.38999938964844,156.5399932861328,143.109619140625,17903600
2018-01-19,156.72999572753906,158.69000244140625,156.5500030517578,158.60000610351562,144.9928741455078,31040900
2018-01-22,158.39999389648438,159.4499969482422,158.30999755859375,159.4499969482422,145.76992797851562,12702400
2018-01-23,159.24000549316406,160.3000030517578,158.6699981689453,159.9600067138672,146.2361602783203,16904600
2018-01-24,160.36000061035156,160.6300048828125,158.39999389648438,158.97000122070312,145.33116149902344,20340900
2018-01-25,159.63999938964844,159.9199981689453,158.2100067138672,159.02999877929688,145.38597106933594,20290900
2018-01-26,159.52999877929688,159.69000244140625,158.77000427246094,159.60000610351562,145.90707397460938,16120300
2018-01-29,159.05999755859375,159.86000061035156,158.6199951171875,158.6999969482422,145.0843048095703,18293300
2018-01-30,157.66000366210938,158.22000122070312,156.72999572753906,157.17999267578125,143.69464111328125,24533800
2018-01-31,157.74000549316406,158.4199981689453,155.9199981689453,156.36000061035156,142.945068359375,27468900
2018-02-01,155.72999572753906,157.2100067138672,155.52999877929688,156.85000610351562,143.3929901123047,21413000
2018-02-02,156.1300048828125,156.14999389648438,153.50999450683594,153.8300018310547,140.6321258544922,33314100
2018-02-05,152.6699981689453,153.7899932861328,147.86000061035156,147.9199981689453,135.22915649414062,52622200
2018-02-06,145.52999877929688,150.3699951171875,144.24000549316406,149.69000244140625,136.8472900390625,69232400
2018-02-07,149.61000061035156,150.7899932861328,148.61000061035156,149.83999633789062,136.9844207763672,37101000
2018-02-08,149.99000549316406,150.0,145.44000244140625,145.44000244140625,132.96194458007812,44704500
2018-02-09,146.75999450683594,147.94000244140625,142.5,146.77000427246094,134.17784118652344,53315300
2018-02-12,146.9199981689453,148.9199981689453,145.47999572753906,148.16000366210938,135.44854736328125,36213900
2018-02-13,147.3800048828125,148.7899932861328,146.89999389648438,148.47999572753906,135.74110412597656,25021200
2018-02-14,147.6300048828125,151.52000427246094,147.17999267578125,151.14999389648438,138.1820068359375,36286900
2018-02-15,152.22000122070312,152.8699951171875,150.55999755859375,152.8000030517578,139.69053649902344,23773600
2018-02-16,152.61000061035156,154.2899932861328,152.5399932861328,153.33999633789062,140.1841278076172,27973900
2018-02-20,152.5500030517578,153.77000427246094,151.6699981689453,152.0800018310547,139.03225708007812,24046200
2018-02-21,152.4199981689453,154.80999755859375,152.00999450683594,152.24000549316406,139.17852783203125,26735500
2018-02-22,152.80999755859375,154.02999877929688,151.91000366210938,152.0,138.95909118652344,16340000
2018-02-23,152.97999572753906,154.02000427246094,152.14999389648438,153.97999572753906,140.76922607421875,18065200
2018-02-26,154.52999877929688,155.25999450683594,153.47000122070312,154.99000549316406,141.6925811767578,15267700
2018-02-27,155.17999267578125,155.8800048828125,152.75,152.75999450683594,139.6538543701172,18125500
2018-02-28,153.13999938964844,153.60000610351562,150.30999755859375,150.35000610351562,137.4506378173828,29951800
2018-03-01,150.0500030517578,151.57000732421875,148.3800048828125,149.9499969482422,137.0850067138672,38943200
2018-03-02,148.7100067138672,152.75,148.39999389648438,152.35000610351562,139.27906799316406,31842300
2018-03-05,151.82000732421875,154.25999450683594,151.47000122070312,153.7100067138672,140.52244567871094,19603700
2018-03-06,154.42999267578125,155.38999938964844,152.8000030517578,155.3699951171875,142.0399627685547,17304000
2018-03-07,154.4600067138672,156.92999267578125,154.22000122070312,156.74000549316406,143.29244995117188,22684600
2018-03-08,156.89999389648438,157.47000122070312,155.5,156.4199981689453,142.9998779296875,23391300
2018-03-09,157.30999755859375,159.0,156.8699951171875,158.9199981689453,145.28538513183594,24927200
2018-03-12,159.25,159.64999389648438,158.49000549316406,159.1999969482422,145.54141235351562,15310100
2018-03-13,160.0,160.3000030517578,158.13999938964844,158.4600067138672,144.8648681640625,17757200
2018-03-14,159.22000122070312,159.38999938964844,157.41000366210938,157.7100067138672,144.17921447753906,18097500
2018-03-15,158.10000610351562,158.13999938964844,156.3699951171875,156.9199981689453,143.45701599121094,14172100
2018-03-16,156.97999572753906,158.27000427246094,156.75,157.8000030517578,144.261474609375,36000300
2018-03-19,157.1699981689453,157.2100067138672,154.4499969482422,156.27999877929688,142.8718719482422,25663000
2018-03-20,156.6699981689453,157.02000427246094,155.77000427246094,156.24000549316406,142.83534240722656,11418500
2018-03-21,156.32000732421875,158.25999450683594,156.1999969482422,157.14999389648438,143.66726684570312,22213500
2018-03-22,155.66000366210938,156.6199951171875,153.30999755859375,153.35000610351562,140.51695251464844,29774800
2018-03-23,153.55999755859375,153.94000244140625,150.0,150.0500030517578,137.49314880371094,35744100
2018-03-26,152.08999633789062,153.3800048828125,150.42999267578125,153.3300018310547,140.49867248535156,28442400
2018-03-27,153.66000366210938,153.6999969482422,149.7100067138672,150.36000061035156,137.7772216796875,32820600
2018-03-28,150.74000549316406,151.35000610351562,149.38999938964844,150.30999755859375,137.73135375976562,26510900
2018-03-29,151.0800018310547,153.10000610351562,150.75,151.8300018310547,139.1241455078125,22617700
2018-04-02,151.52000427246094,152.07000732421875,147.17999267578125,148.1300048828125,135.7338104248047,35040700
2018-04-03,149.02000427246094,150.60000610351562,148.3000030517578,150.25,137.67640686035156,29857800
2018-04-04,148.5,152.5800018310547,148.27000427246094,152.16000366210938,139.4265594482422,29619700
2018-04-05,153.0399932861328,153.61000061035156,152.32000732421875,153.4199981689453,140.58116149902344,17301600
2018-04-06,152.3699951171875,153.39999389648438,149.14999389648438,150.36000061035156,137.7772216796875,25762700
2018-04-09,151.39999389648438,152.60000610351562,150.4199981689453,150.5399932861328,137.942138671875,18997000
2018-04-10,152.13999938964844,153.9499969482422,151.6699981689453,153.3800048828125,140.5444793701172,23420000
2018-04-11,152.77999877929688,154.30999755859375,152.6300048828125,153.7100067138672,140.8468780517578,14884600
2018-04-12,154.42999267578125,155.41000366210938,153.92999267578125,154.75999450683594,141.8090057373047,14413200
2018-04-13,155.2899932861328,155.3300018310547,153.50999450683594,153.9499969482422,141.06671142578125,19813600
2018-04-16,154.83999633789062,155.82000732421875,154.11000061035156,155.3699951171875,142.367919921875,18846900
