Date,Opening Price,Highest Price,Lowest Price,Closing Price,Adjusted Closing Price,Trading Volume
2018-01-02,156.55999755859375,158.52999877929688,156.1699981689453,158.49000549316406,151.1743927001953,32573300
2018-01-03,158.63999938964844,160.1699981689453,158.61000061035156,160.02999877929688,152.643310546875,29383600
2018-01-04,160.5800018310547,160.7899932861328,160.0800018310547,160.30999755859375,152.91033935546875,24776100
2018-01-05,161.07000732421875,162.02999877929688,160.77000427246094,161.9199981689453,154.446044921875,26992300
2018-01-08,161.9199981689453,162.6300048828125,161.86000061035156,162.5500030517578,155.04702758789062,23159100
2018-01-09,162.8699951171875,163.0399932861328,162.07000732421875,162.55999755859375,155.0565185546875,24782400
2018-01-10,161.83999633789062,162.2100067138672,161.1199951171875,162.17999267578125,154.694091796875,34004000
2018-01-11,162.4600067138672,163.3000030517578,162.2100067138672,163.2899932861328,155.75282287597656,20473500
2018-01-12,163.14999389648438,164.66000366210938,162.94000244140625,164.49000549316406,156.89743041992188,37762700
2018-01-16,165.5800018310547,166.4199981689453,163.52999877929688,164.02000427246094,156.44911193847656,41231800
2018-01-17,164.8000030517578,166.0399932861328,164.0,165.7899932861328,158.1374053955078,33849900
2018-01-18,165.52999877929688,166.1999969482422,165.13999938964844,165.82000732421875,158.16603088378906,26432200
2018-01-19,166.30999755859375,166.61000061035156,165.5399932861328,166.33999633789062,158.6620635986328,38937600
2018-01-22,166.27999877929688,168.1199951171875,166.08999633789062,168.1199951171875,160.3599090576172,26081400
2018-01-23,168.63999938964844,169.66000366210938,168.55999755859375,169.50999450683594,161.68572998046875,37989700
2018-01-24,169.8699951171875,170.24000549316406,167.44000244140625,168.41000366210938,160.63650512695312,54287400
2018-01-25,169.57000732421875,169.6300048828125,167.80999755859375,168.35000610351562,160.57928466796875,28925000
2018-01-26,169.2899932861328,170.9499969482422,168.9600067138672,170.92999267578125,163.0402069091797,32038200
2018-01-29,170.57000732421875,170.91000366210938,169.74000549316406,170.10000610351562,162.24847412109375,37277800
2018-01-30,168.5500030517578,169.4199981689453,167.82000732421875,168.6999969482422,160.91310119628906,44987700
2018-01-31,169.64999389648438,169.99000549316406,168.33999633789062,169.39999389648438,161.580810546875,42449200
2018-02-01,168.10000610351562,169.72999572753906,167.4199981689453,167.9600067138672,160.20730590820312,38037900
2018-02-02,167.3000030517578,167.6999969482422,164.47000122070312,164.61000061035156,157.0118865966797,68478100
2018-02-05,163.07000732421875,165.75,158.0,158.1199951171875,150.8214569091797,105372200
2018-02-06,155.80999755859375,162.50999450683594,155.10000610351562,162.30999755859375,154.8180694580078,118537900
2018-02-07,161.7899932861328,163.5500030517578,160.1999969482422,160.2100067138672,152.81500244140625,91028300
2018-02-08,160.6199951171875,160.8000030517578,153.4499969482422,153.4499969482422,146.36700439453125,94184800
2018-02-09,155.6199951171875,157.24000549316406,150.1300048828125,156.10000610351562,148.89471435546875,113836600
2018-02-12,157.6999969482422,159.9499969482422,156.4600067138672,158.8699951171875,151.53689575195312,63050600
2018-02-13,157.9600067138672,160.00999450683594,157.72000122070312,159.69000244140625,152.3190155029297,31785600
2018-02-14,158.75,162.92999267578125,158.0,162.67999267578125,155.1709747314453,52107400
2018-02-15,164.13999938964844,165.6999969482422,162.44000244140625,165.6999969482422,158.0515899658203,51633900
2018-02-16,165.16000366210938,166.75999450683594,164.67999267578125,164.9600067138672,157.34573364257812,62256300
2018-02-20,164.3800048828125,166.67999267578125,164.30999755859375,165.2899932861328,157.6604766845703,36785600
2018-02-21,166.10000610351562,167.72000122070312,164.72000122070312,164.82000732421875,157.21224975585938,41161800
2018-02-22,165.5399932861328,166.4199981689453,164.3800048828125,164.8000030517578,157.193115234375,37074400
2018-02-23,166.1300048828125,168.1699981689453,165.4499969482422,168.1699981689453,160.40757751464844,50096900
2018-02-26,168.9600067138672,170.39999389648438,168.82000732421875,170.39999389648438,162.53465270996094,39266700
2018-02-27,170.4499969482422,170.72999572753906,168.2100067138672,168.2899932861328,160.5220489501953,42209900
2018-02-28,169.25,169.8000030517578,167.10000610351562,167.2100067138672,159.49192810058594,42936300
2018-03-01,167.3000030517578,168.07000732421875,163.0,164.47999572753906,156.8878936767578,76809900
2018-03-02,162.5,166.27999877929688,161.9600067138672,165.99000549316406,158.3282012939453,57445100
2018-03-05,165.2100067138672,168.25999450683594,164.58999633789062,167.8300018310547,160.08328247070312,38540200
2018-03-06,168.64999389648438,169.11000061035156,167.47999572753906,168.5399932861328,160.76046752929688,29480900
2018-03-07,167.25,169.07000732421875,166.9600067138672,168.92999267578125,161.1324920654297,34609400
2018-03-08,169.6300048828125,169.97999572753906,168.9499969482422,169.86000061035156,162.01954650878906,25828400
2018-03-09,171.07000732421875,173.16000366210938,170.82000732421875,173.16000366210938,165.16725158691406,38310500
2018-03-12,173.6699981689453,174.47999572753906,173.27999877929688,174.0800018310547,166.04481506347656,37635000
2018-03-13,174.47999572753906,175.2100067138672,171.27000427246094,171.7100067138672,163.78419494628906,55638900
2018-03-14,172.61000061035156,172.74000549316406,170.92999267578125,171.67999267578125,163.7555694580078,40536400
2018-03-15,171.8000030517578,172.52999877929688,170.89999389648438,171.52999877929688,163.61245727539062,28810400
2018-03-16,171.82000732421875,172.1999969482422,170.94000244140625,171.02000427246094,163.1260223388672,31176700
2018-03-19,169.10000610351562,169.22000122070312,165.63999938964844,167.10000610351562,159.6455841064453,71395100
2018-03-20,167.1699981689453,168.0399932861328,166.61000061035156,167.64999389648438,160.17100524902344,34075700
2018-03-21,167.2100067138672,168.75999450683594,166.19000244140625,166.9199981689453,159.47354125976562,43863500
2018-03-22,164.61000061035156,165.77000427246094,162.58999633789062,162.8000030517578,155.537353515625,66607300
2018-03-23,162.61000061035156,163.3000030517578,158.42999267578125,158.50999450683594,151.43873596191406,80110400
2018-03-26,161.72000122070312,164.60000610351562,159.16000366210938,164.39999389648438,157.06597900390625,57481500
2018-03-27,165.6199951171875,165.6199951171875,157.67999267578125,159.0800018310547,151.98330688476562,78889100
2018-03-28,158.1699981689453,159.77999877929688,156.0399932861328,157.25,150.23495483398438,89369700
2018-03-29,158.10000610351562,161.7100067138672,156.6300048828125,160.1300048828125,152.98648071289062,68692600
2018-04-02,158.99000549316406,159.74000549316406,153.8800048828125,155.50999450683594,148.57260131835938,85549400
2018-04-03,156.8699951171875,157.9199981689453,154.44000244140625,157.25999450683594,150.24453735351562,64090000
2018-04-04,154.22000122070312,160.22999572753906,154.0399932861328,159.74000549316406,152.61390686035156,65768700
2018-04-05,161.3300018310547,161.5800018310547,159.47999572753906,160.64999389648438,153.48324584960938,43054900
2018-04-06,158.8800048828125,160.4600067138672,155.8800048828125,156.6300048828125,149.6426239013672,59870900
2018-04-09,157.97999572753906,160.8800048828125,157.4600067138672,157.72999572753906,150.6935577392578,41810400
2018-04-10,160.2100067138672,161.72999572753906,159.07000732421875,161.2100067138672,154.01834106445312,48296800
2018-04-11,160.1999969482422,162.0,160.10000610351562,160.27999877929688,153.12977600097656,41622100
2018-04-12,161.25,162.77000427246094,161.16000366210938,162.2100067138672,154.97369384765625,30467900
2018-04-13,163.02000427246094,163.25999450683594,160.6699981689453,161.3699951171875,154.1711883544922,44604900
2018-04-16,162.5,163.19000244140625,161.47999572753906,162.60000610351562,155.3463134765625,28180800
2018-04-17,164.24000549316406,166.4600067138672,163.91000366210938,166.10000610351562,158.69015502929688,35536100
2018-04-18,166.10000610351562,167.0,165.30999755859375,166.44000244140625,159.0150146484375,29573900
2018-04-19,165.60000610351562,165.99000549316406,164.33999633789062,164.91000366210938,157.5532684326172,34705700
2018-04-20,164.49000549316406,164.61000061035156,161.72999572753906,162.3000030517578,155.05970764160156,49197100
2018-04-23,163.08999633789062,163.72999572753906,161.02000427246094,161.88999938964844,154.66796875,33040600
2018-04-24,162.66000366210938,162.91000366210938,157.38999938964844,158.4600067138672,151.39096069335938,70256800
2018-04-25,158.74000549316406,159.30999755859375,156.47000122070312,158.64999389648438,151.572509765625,52089300
2018-04-26,160.6999969482422,162.52999877929688,160.17999267578125,161.99000549316406,154.76348876953125,43005500
2018-04-27,164.3699951171875,164.41000366210938,161.1699981689453,162.08999633789062,154.85902404785156,51043400
2018-04-30,162.47000122070312,163.47999572753906,160.5399932861328,160.94000244140625,153.76034545898438,35615300
2018-05-01,160.52000427246094,162.8000030517578,160.13999938964844,162.77999877929688,155.5182647705078,36513500
2018-05-02,163.05999755859375,163.57000732421875,161.6300048828125,161.82000732421875,154.60110473632812,38646800
2018-05-03,161.0,162.39999389648438,159.22000122070312,161.8000030517578,154.58197021484375,60337100
2018-05-04,161.10000610351562,165.25,160.97999572753906,164.8699951171875,157.5150146484375,41543200
2018-05-07,165.63999938964844,166.77999877929688,165.50999450683594,166.24000549316406,158.82391357421875,32500200
2018-05-08,165.88999938964844,166.42999267578125,164.86000061035156,166.07000732421875,158.6614990234375,26040200
2018-05-09,166.3699951171875,168.0,165.77999877929688,167.8800048828125,160.39077758789062,29122700
2018-05-10,168.4199981689453,169.74000549316406,168.2899932861328,169.6199951171875,162.0531005859375,27067600
2018-05-11,169.4199981689453,169.86000061035156,168.72000122070312,169.4600067138672,161.9002685546875,24688800
2018-05-14,169.85000610351562,170.82000732421875,169.47000122070312,169.75,162.1773681640625,21821700
2018-05-15,168.41000366210938,168.5,166.97999572753906,167.8699951171875,160.3812255859375,49361600
2018-05-16,168.08999633789062,169.3699951171875,168.00999450683594,168.97999572753906,161.44166564941406,22941200
2018-05-17,168.38999938964844,169.61000061035156,167.50999450683594,168.3300018310547,160.8206787109375,27480200
2018-05-18,167.67999267578125,168.25999450683594,167.2100067138672,167.4600067138672,159.989501953125,26217900
2018-05-21,168.75999450683594,169.5,167.67999267578125,168.39999389648438,160.88748168945312,22954600
2018-05-22,169.1699981689453,169.4499969482422,167.8800048828125,168.17999267578125,160.67739868164062,19477700
2018-05-23,166.89999389648438,169.6199951171875,166.8800048828125,169.60000610351562,162.0340118408203,26557800
2018-05-24,169.5500030517578,169.85000610351562,167.83999633789062,169.5500030517578,161.98623657226562,27696500
2018-05-25,169.52999877929688,170.3300018310547,169.2100067138672,169.72000122070312,162.148681640625,27460500
2018-05-29,168.9499969482422,169.9199981689453,167.9600067138672,168.97000122070312,161.43215942382812,41220500
2018-05-30,169.5800018310547,170.47999572753906,169.22000122070312,170.17999267578125,162.58815002441406,22665800
2018-05-31,170.17999267578125,171.1999969482422,169.6300048828125,170.07000732421875,162.48304748535156,35670900
2018-06-01,170.9199981689453,172.83999633789062,170.8699951171875,172.74000549316406,165.03396606445312,45543300
2018-06-04,173.17999267578125,174.33999633789062,173.07000732421875,174.3000030517578,166.5243377685547,20459600
2018-06-05,174.7100067138672,175.1300048828125,174.07000732421875,174.83999633789062,167.04022216796875,24779300
2018-06-06,175.02000427246094,175.88999938964844,174.13999938964844,175.86000061035156,168.01470947265625,25036600
2018-06-07,175.88999938964844,175.92999267578125,173.5500030517578,174.42999267578125,166.64857482910156,39600300
2018-06-08,173.61000061035156,174.8800048828125,173.17999267578125,174.44000244140625,166.65809631347656,31780300
2018-06-11,174.30999755859375,175.33999633789062,174.27999877929688,174.91000366210938,167.10714721679688,22319700
2018-06-12,175.14999389648438,176.0,174.9600067138672,175.8300018310547,167.98609924316406,22511800
2018-06-13,176.10000610351562,177.13999938964844,175.42999267578125,175.82000732421875,167.97654724121094,37858600
2018-06-14,176.6300048828125,177.88999938964844,176.5,177.60000610351562,169.67710876464844,35916000
2018-06-15,176.92999267578125,177.3300018310547,176.11000061035156,176.97999572753906,169.08480834960938,49615700
2018-06-18,175.49000549316406,176.64999389648438,174.94000244140625,176.5,168.98712158203125,31633200
2018-06-19,174.27000427246094,176.0399932861328,173.7100067138672,176.0,168.50843811035156,38236000
2018-06-20,176.80999755859375,177.97999572753906,176.64999389648438,177.25,169.70521545410156,33038000
2018-06-21,177.6999969482422,177.8800048828125,175.3699951171875,175.7100067138672,168.23072814941406,43469400
2018-06-22,176.3000030517578,176.3699951171875,174.69000244140625,175.32000732421875,167.85739135742188,30073200
2018-06-25,173.72999572753906,173.99000549316406,169.80999755859375,171.3699951171875,164.07550048828125,77799700
2018-06-26,172.0,173.05999755859375,171.3699951171875,172.07000732421875,164.74569702148438,39008100
2018-06-27,172.8000030517578,173.5800018310547,169.61000061035156,169.72999572753906,162.50531005859375,52843500
2018-06-28,169.52000427246094,171.77000427246094,169.1699981689453,171.19000244140625,163.90313720703125,46407700
2018-06-29,172.00999450683594,172.9199981689453,171.39999389648438,171.64999389648438,164.34361267089844,36408500
2018-07-02,170.0399932861328,172.85000610351562,169.6699981689453,172.8000030517578,165.4446258544922,31770000
2018-07-03,173.4499969482422,173.4499969482422,170.6300048828125,170.8000030517578,163.52972412109375,25512700
2018-07-05,171.91000366210938,173.05999755859375,171.02999877929688,172.9199981689453,165.55950927734375,31626200
2018-07-06,173.32000732421875,175.74000549316406,173.0,175.61000061035156,168.135009765625,37005600
2018-07-09,176.52000427246094,177.22999572753906,175.82000732421875,177.19000244140625,169.64773559570312,27362100
