date,open,high,low,close,adj_close,volume,sma_50,ema_20,wma_20,macd,macd_signal,macd_hist,tema_20,rsi_14,roc,cci_14,willr_14,atr_14,upper_bb,middle_bb,lower_bb,obv,ad,chaikin_ad,return,label
2018-03-14,172.61000061035156,172.74000549316406,170.92999267578125,171.67999267578125,163.7555694580078,40536400,165.42419952392578,168.3567067425532,169.3218566894531,2.1237770043223065,1.546900502731605,0.5768765015907016,172.62631277955083,60.00260777106655,2.6732765877841174,79.75176363738458,-26.64161538178066,2.883405330257006,174.07555608560477,167.9289993286133,161.7824425716218,240193000.0,224516645.89612865,22610050.138499856,-0.0008736830317067623,0
2018-03-15,171.8000030517578,172.52999877929688,170.89999389648438,171.52999877929688,163.61245727539062,28810400,165.68499938964842,168.65892503176687,169.66480901808967,2.102389524614921,1.6579983071082682,0.4443912175066526,172.81138947702237,59.57416141435972,4.286237375295252,65.0070079517244,-27.773644789209907,2.7916196797705704,174.20930394080938,168.37149963378906,162.53369532676874,211382600.0,217976967.74140683,13556045.7970244,-0.0029732088291573033,0
2018-03-16,171.82000732421875,172.1999969482422,170.94000244140625,171.02000427246094,163.1260223388672,31176700,165.9047994995117,168.88378972135678,169.91704755510602,2.0209907747306204,1.7305968006327386,0.2903939740978818,172.79543236814538,58.05623134675755,3.030302194612569,51.36325949476673,-31.622659935141503,2.679661432071442,174.4489081247322,168.6375,162.82609187526776,180205900.0,190759321.6463417,-40392.99082937837,-0.022921284475587722,-1
2018-03-19,169.10000610351562,169.22000122070312,165.63999938964844,167.10000610351562,159.6455841064453,71395100,166.04059967041016,168.71390556727667,169.77061956496465,1.621479184851438,1.7087732774764786,-0.0872940926250405,171.7320164616423,47.94426644849781,-0.4349614011646793,-57.54741345034299,-61.2075517762382,2.8767213606247077,174.35650981808053,168.74449996948243,163.13249012088434,108810800.0,177597334.5084714,-9786805.403289288,0.00329136907767702,0
2018-03-20,167.1699981689453,168.0399932861328,166.61000061035156,167.64999389648438,160.17100524902344,34075700,166.15519958496094,168.61258064624883,169.6663808913458,1.333866803788652,1.6337919827389134,-0.2999251789502613,170.97538998293314,49.27909526579629,-0.5280642133036475,-52.41442165867624,-57.05670050854953,2.7713081739513994,174.27469215620232,168.8625,163.4503078437977,142886500.0,193086222.9437439,-7955981.8514098525,-0.0043542842476319565,0
2018-03-21,167.2100067138672,168.75999450683594,166.19000244140625,166.9199981689453,159.47354125976562,43863500,166.2425994873047,168.45138231507707,169.48138071695965,1.0350954294908945,1.5140526720893095,-0.4789572425984152,170.14442013616468,47.536733663218406,-1.1898387462157876,-64.03494349126927,-62.56610222582547,2.7566606640457,174.13799638356207,168.96749954223634,163.7970027009106,99023000.0,174141218.23844132,-12511693.545381874,-0.02468245364475452,-1
2018-03-22,164.61000061035156,165.77000427246094,162.58999633789062,162.8000030517578,155.537353515625,66607300,166.24739959716797,167.9131557185705,168.89400009881882,0.4605587544735385,1.3033538885661555,-0.8427951340926172,168.37892214135024,39.128100639081794,-4.1563626122838375,-157.7609835579149,-98.33592281138723,2.870982942469207,174.41979949617814,168.86749954223632,163.3151995882945,32415700.0,116331368.10672665,-31632010.321608543,-0.02635140334461783,-1
2018-03-23,162.61000061035156,163.3000030517578,158.42999267578125,158.50999450683594,151.43873596191406,80110400,166.17399963378907,167.01761655554813,167.9075710478283,-0.3370482538041983,0.9752734600920848,-1.3123217138962833,165.81236664794366,32.65152214898259,-8.460388568632915,-203.3982242771037,-99.52323144144512,3.016057526243185,175.54363049003936,168.38449935913087,161.22536822822238,-47694700.0,38852986.60021424,-61230533.08926351,0.03715853633061883,1
2018-03-26,161.72000122070312,164.60000610351562,159.16000366210938,164.39999389648438,157.06597900390625,57481500,166.1961996459961,166.7683191594468,167.52809433710007,-0.4882555226104728,0.6825676635515734,-1.1708231861620462,165.24265509997576,45.8933830733617,-5.560666264218447,-117.72782266009614,-64.42195335979521,3.238887392409061,175.38216827871707,168.08449935913086,160.78683043954464,9786800.0,92107649.64479008,-50827942.06282428,-0.03236005026119071,-1
2018-03-27,165.6199951171875,165.6199951171875,157.67999267578125,159.0800018310547,151.98330688476562,78889100,166.08799957275392,166.0360984615047,166.67052314394996,-1.0255454219361866,0.3409450464540214,-1.3664904683902082,163.40825330671214,38.52539725254706,-7.35542740025559,-125.3100400325416,-92.01364498492836,3.579308379796556,175.90744603957904,167.62399978637694,159.34055353317484,-69102300.0,41038556.771065176,-58200871.46066394,-0.0115036573421603,-1
