sma_50,ema_20,wma_20,macd,macd_signal,macd_hist,tema_20,rsi_14,roc,cci_14,willr_14,atr_14,upper_bb,middle_bb,lower_bb,obv,ad,chaikin_ad,label
1.5993173481748408,1.390476050127987,1.3269046126230628,-1.3364307021006756,-1.5488278243761537,0.49692999952718425,1.2523399383537819,-0.9638621659150484,0.03214886026252861,-0.5156007915178371,-0.5258011758999328,0.6393093650234929,1.2973616551501461,1.3776826428738451,1.4651992177699462,0.9052623152995384,1.230128628825424,-0.2398954531792117,-1
-0.7838909803832649,-0.8280684023315015,-0.8358868854638669,-0.29021266754445024,-0.3301498410278515,0.08659837127058946,-0.8483790549264676,-0.4859701398627983,-0.5461944850677828,-0.03866860148983558,0.19143602721597333,-0.7336888559214301,-0.8373337585490922,-0.8294723972351076,-0.8099032973760409,-1.2163377606159171,-1.100787904549854,-0.31659961539648973,0
1.973096101851491,1.7075732993090655,1.6579716792553483,-0.9383416921886554,-1.2443739432871153,0.8894868422661067,1.6322828936241849,-0.9298483345620042,-0.14041779952643382,-0.756437771217841,-1.2683174638168107,1.186599802147769,1.4953282411247037,1.643972407743367,1.8162664938449196,1.1609059930435928,1.260702344406907,-1.8018702803951612,1
-0.04914850569931111,-0.06947813938704164,-0.07240747438654448,-0.14384193819764907,-0.15435423206100382,0.010941468817705271,-0.07888829411852787,-0.356428013416447,-0.04201720745250599,-0.8480767793803845,0.07137326207134909,-0.49667254304374336,-0.15225488965506873,-0.0650552264365291,0.04776518581625931,0.3565527507501871,1.176425789261401,-0.6562747106816572,0
2.1681096024396367,2.1963724443978805,2.2159323506595108,-0.38780320349929087,0.5679596736259287,-3.361050627361648,2.0559707508752476,-1.1702961611370446,-1.2102988256742002,-1.3865732953773746,-1.4428404923541613,1.978140913036488,2.166443511476702,2.244905410550318,2.3201368732797265,1.4229969767116046,0.9622143668356876,-1.8449005912756746,-1
-0.06317707876630496,-0.1125509259941971,-0.11545446601544194,-0.7107831461030235,-0.36294938652159014,-1.323299399522738,-0.21570834627029303,-1.128309666809099,-1.8548500478280634,-0.8409051385043933,-1.1807175934572474,-0.11813645380954176,-0.0010479128360234731,-0.06743115404955252,-0.15198437108165408,0.12547654898661864,1.0941325215718563,-2.4465081148987453,1
-0.5493120871022177,-0.6137503491167927,-0.6202692772915569,-0.07307514201904007,-0.3304315813774361,0.8738327187344678,-0.578800838698642,-0.02161272269272273,1.533758087896282,0.10263778586948387,0.21973508355207116,-0.08740584763310959,-0.5786386736768457,-0.6569064240913248,-0.7500085249975786,-1.2569517073687992,-1.1220868247065137,-0.3507843778583415,-1
1.4235325438276025,1.6370000929830388,1.6711249879547208,0.9312479320782777,1.3912107797649291,-1.421072718363453,1.6741287788745218,-0.35639361986124574,-0.5552783105288726,-1.3654392428656061,-0.750318287190322,1.406671732759798,1.508207064069338,1.669972958533681,1.8588357710797023,1.2691373738802216,1.2176323430689282,0.634047017691928,0
-0.6437041410549683,-0.6998572643784837,-0.715810056356456,-0.4230944763813101,-0.4532709246564086,0.02961888652163433,-0.7426685978027693,-1.2726195311464832,-0.11133013906997709,0.11674892657713913,-0.28312808718700644,-0.7160047245269805,-0.6647578967514528,-0.6947966042827196,-0.7254773640892969,-0.6560995710326198,-0.7811990108751005,-0.1708680285539303,1
-0.6595894738383027,-0.7087971895686678,-0.7190487880462413,-0.26719457598895896,-0.33972289430845043,0.2029299809117374,-0.7257137776145823,-1.0150979655907424,-0.03992475073593619,-0.24599119370075678,-0.5075305268193478,-0.7429764919916553,-0.7549820524359678,-0.7202226417509455,-0.6673279841983154,-0.6796764173826264,-0.78739683751364,-0.6079900661847809,-1
-0.3077415524678396,-0.16363864222058871,-0.13111755303322506,0.8042859861331129,0.8905491274868039,-0.15587013395631483,-0.0839237803413614,0.9995534042826023,0.2776675585247677,0.627716535724085,0.9657230670687303,-0.08260405096812158,-0.16039380933118216,-0.153674453533704,-0.1432845049096014,0.816446596940581,0.14312682778032443,1.5023908746933086,1
-0.7140201815583378,-0.6711743769424796,-0.6632046146894373,0.12199939880070416,0.1831007616786761,-0.1890750138010495,-0.660882373589463,0.42279541832297046,-0.33921798328470626,0.31086233430669724,0.27878610043498503,-0.6425088987906802,-0.6833461769136396,-0.6639716129649568,-0.6314930259042308,-0.4509030311286459,-0.5634781031732492,0.3534488463120561,1
0.08306012066376833,0.007920597241388405,-0.0072619092032692005,-0.24010484031419685,-0.3415783031778026,0.3074154642659628,-0.009072841497548523,-0.634623069389884,-0.14037410406005682,-0.38554899229098044,-0.8522201927457214,-0.17446759046732208,-0.05606015032930737,-0.016775894626646564,0.033907745876510346,0.5510875925957972,1.1514051782955288,0.8649022382632016,0
-0.8212349846468441,-0.8232630977686549,-0.8203073603200676,-0.029820523230736404,-0.035319211829290584,0.013704486742927275,-0.8165475543761935,-0.07952720900727052,0.023851517007260053,0.050047956508267114,-0.031328833670613364,-0.8557657914930956,-0.8469315575182926,-0.8212773907365595,-0.778932635402587,-1.1943834456505482,-1.079666581733784,-0.31025450769073337,0
-0.9956160561797386,-0.9849989532691875,-0.9792999068346095,0.015696527522540388,0.02571013073173169,-0.03174173324876083,-0.9731599943413428,0.35907946019795006,0.0055097186796999546,0.22444356118601722,-0.5606647256778126,-0.9075079688512893,-0.9885662819108931,-0.9786074113028307,-0.954640639362881,-1.1420901898664928,-1.1066901566065295,-0.3894443695449606,1
2.237159266305964,1.8714310224991568,1.7867179323915794,-2.4137371710838345,-2.2529458664184445,-0.978131681652931,1.5362940409671024,-1.2638178016821542,-1.1465292594711562,-0.7670447108642365,-0.932344322773628,1.9671096162490633,1.9348587237840296,1.892644933655303,1.816790973742024,1.2391610160339634,1.3216107427929327,-0.6494996566750157,0
